Purchase Order,line_cost,Order Date
0216TENGEL          ,1304.13,2021-02-16
1117TENGEL          ,1237.09,2022-11-17
1010TENGEL          ,1062.78,2022-10-10
0912TENGEL          ,708.01,2022-09-12
0119TENGEL          ,542.22,2021-01-19
0105TENGEL          ,516.17,2021-01-05
1101TENGEL          ,483.49,2022-11-01
0416TENGEL          ,466.07,2021-04-16
0716TENGEL          ,430.46,2021-07-16
1109TENGEL          ,427.80999999999995,2021-11-09
0203TENGEL          ,415.19,2021-02-03
0525TENGEL          ,414.0,2021-05-25
0427TENGEL          ,399.34,2021-04-27
0408TENGEL          ,391.65999999999997,2021-04-08
1110TENGEL          ,388.98,2022-11-10
1102TENGEL          ,387.89,2022-11-02
0813BOWEN           ,379.48,2021-08-13
0311TENGEL          ,377.64,2021-03-11
0627TENGEL          ,360.46,2022-06-27
0412TENGEL          ,335.84,2021-04-12
0411TENGEL          ,320.82,2023-04-11
0503TENGEL          ,320.5,2021-05-03
0806TENGEL          ,319.07000000000005,2021-08-06
1004TENGEL          ,300.07,2021-10-04
0407TENGEL          ,292.11,2023-04-07
0916TENGEL          ,286.34,2021-09-16
0723TENGEL          ,284.69,2021-07-23
1128TENGEL          ,279.96999999999997,2022-11-28
0622TENGEL          ,269.94,2021-06-22
0509TENGEL          ,259.96999999999997,2022-05-09
0317TENGEL          ,247.96,2021-03-17
1213TENGEL          ,247.2,2021-12-13
0331TENGEL          ,244.87,2021-03-31
0712TENGEL          ,242.61,2022-07-12
0511TENGEL          ,221.88,2021-05-11
1014TENGEL          ,209.73,2021-10-14
1114TENGEL          ,205.8,2022-11-14
0218TENGEL          ,201.81,2021-02-18
0620TENGEL          ,197.31,2022-06-20
0201TENGEL          ,195.35,2022-02-01
1201TENGEL          ,194.48000000000002,2022-12-01
0123TENGEL          ,183.60999999999999,2023-01-23
0913TENGEL          ,183.6,2021-09-13
0609TENGEL          ,182.49999999999997,2021-06-09
0303TENGEL          ,180.74,2022-03-03
0413TENGEL          ,174.49,2021-04-13
0927TENGEL          ,171.66,2021-09-27
0928TENGEL          ,168.17,2022-09-28
0922TENGEL          ,165.25,2021-09-22
0721TENGEL          ,164.82,2021-07-21
0128TENGEL          ,163.16,2021-01-28
0513TENGEL          ,159.55,2021-05-13
0514TENGEL          ,157.77,2021-05-14
0323TENGEL          ,156.08999999999997,2023-03-23
0308TENGEL          ,155.58,2022-03-08
0113TENGEL          ,152.47,2021-01-13
0824TENGEL          ,152.0,2021-08-24
0519TENGEL          ,144.7,2021-05-19
0722TENGEL          ,144.62,2022-07-22
0222TENGEL          ,142.67,2022-02-22
0524TENGEL          ,140.98,2021-05-24
0706TENGEL          ,139.98,2021-07-06
0227TENGEL          ,138.47,2023-02-27
0809TENGEL          ,134.83,2021-08-09
0813TENGEL          ,132.05,2021-08-13
0106TENGEL          ,129.33,2021-01-06
0901BOWEN           ,127.82,2021-09-01
1026TENGEL          ,126.17,2022-10-26
0314TENGEL          ,122.10000000000001,2022-03-14
0718TENGEL          ,120.87,2022-07-18
0923TENGEL          ,120.13,2022-09-23
0929TENGEL          ,112.08,2022-09-29
1108TENGEL          ,112.04,2021-11-08
0329TENGEL          ,111.57,2022-03-29
0720TENGEL          ,111.19,2021-07-20
1027TENGEL          ,107.0,2022-10-27
1011TENGEL          ,106.02,2022-10-11
0820TENGEL          ,100.73,2021-08-20
1012TENGEL          ,98.54,2021-10-12
1216TENGEL          ,98.43,2022-12-16
1006TENGEL          ,98.32000000000001,2022-10-06
0831TENGEL          ,94.08,2021-08-31
1112TENGEL          ,89.67,2021-11-12
0819TENGEL          ,89.49000000000001,2021-08-19
0921BOWEN           ,89.24,2021-09-21
0629TENGEL          ,87.02,2021-06-29
1228TENGEL          ,84.98,2021-12-28
1130TENGEL          ,83.6,2021-11-30
0506TENGEL          ,81.89,2021-05-06
1207TENGEL          ,81.6,2021-12-07
0805TENGEL          ,80.75,2021-08-05
0202TENGEL          ,80.07,2022-02-02
0118TENGEL          ,79.94,2021-01-18
0623TENGEL          ,79.81,2021-06-23
0610TENGEL          ,79.51,2021-06-10
0315TENGEL          ,79.24,2021-03-15
0107TENGEL          ,78.5,2022-01-07
0730BOWEN           ,78.12,2021-07-30
0602TENGEL          ,78.0,2021-06-02
0421TENGEL          ,76.65,2021-04-21
0728TENGEL          ,76.52,2021-07-28
0406BOWEN           ,76.05000000000001,2023-04-06
0914TENGEL          ,74.93,2022-09-14
0307TENGEL          ,73.78,2023-03-07
0228TENGEL          ,73.6,2023-02-28
0528TENGEL          ,73.57,2021-05-28
0708TENGEL          ,72.85000000000001,2021-07-08
0804TENGEL          ,72.26,2022-08-04
1031TENGEL          ,71.10000000000001,2022-10-31
0521TENGEL          ,67.39,2021-05-21
0701TENGEL          ,66.49,2021-07-01
0702TENGEL          ,65.24,2021-07-02
0810TENGEL          ,65.03,2021-08-10
0215TENGEL          ,62.88,2021-02-15
1121TENGEL          ,62.44,2022-11-21
0919TENGEL          ,62.300000000000004,2022-09-19
1025TENGEL          ,61.52,2021-10-25
0423TENGEL          ,61.230000000000004,2021-04-23
0725TENGEL          ,61.21,2022-07-25
0624TENGEL          ,60.69,2021-06-24
SPI PO 0233         ,60.56,2021-02-25
0405TENGEL          ,58.89,2023-04-05
0310TENGEL          ,58.85,2023-03-10
1217TENGEL          ,56.92,2021-12-17
0607TENGEL          ,53.9,2021-06-07
0907TENGEL          ,53.31,2021-09-07
0217TENGEL          ,51.01,2021-02-17
0816TENGEL          ,51.0,2021-08-16
0112TENGEL          ,50.519999999999996,2021-01-12
0127TENGEL          ,49.25,2021-01-27
0709TENGEL          ,48.900000000000006,2021-07-09
0130BOWEN           ,48.870000000000005,2023-01-30
0104TENGEL          ,48.3,2021-01-04
0316TENGEL          ,47.0,2021-03-16
0328TENGEL          ,46.9,2023-03-28
0713TENGEL          ,44.67,2021-07-13
0414TENGEL          ,43.84,2021-04-14
0324TENGEL          ,42.8,2023-03-24
1001TENGEL          ,41.61,2021-10-01
0726TENGEL          ,41.01,2021-07-26
0603TENGEL          ,40.9,2021-06-03
0714TENGEL          ,40.769999999999996,2021-07-14
0204TENGEL          ,38.43,2021-02-04
0608TENGEL          ,36.34,2021-06-08
0630TENGEL          ,35.41,2021-06-30
1018TENGEL          ,34.32,2022-10-18
0526TENGEL          ,33.910000000000004,2021-05-26
1017TENGEL          ,33.620000000000005,2022-10-17
0921TENGEL          ,31.73,2022-09-21
0804BOWEN           ,31.09,2021-08-04
0208TENGEL          ,30.7,2021-02-08
0615TENGEL          ,30.69,2021-06-15
0115TENGEL          ,29.59,2021-01-15
0108TENGEL          ,28.869999999999997,2021-01-08
1122TENGEL          ,27.68,2022-11-22
1206TENGEL          ,27.45,2021-12-06
0517TENGEL          ,27.0,2022-05-17
0507TENGEL          ,26.28,2021-05-07
0825TENGEL          ,24.74,2021-08-25
0817TENGEL          ,23.490000000000002,2021-08-17
0811TENGEL          ,22.92,2021-08-11
1209TENGEL          ,17.68,2021-12-09
0324BOWEN           ,16.54,2022-03-24
1208TENGEL          ,12.4,2021-12-08
