Word,Definition,Rating
gregarious,instinctively or temperamentally seeking and enjoying the company of others',
obsequious,attempting to win favor from influential people by flattery,
ascetic,someone who practices self denial as a spiritual discipline,
maudlin,effusively or insincerely emotional,
wanton,waste time; spend one's time idly or inefficiently,
patronize,treat condescendingly,
expiate,make amends for,
importune,beg persistently and urgently,
scintilate,emit flashes of light; sparkle,
adonis,any handsome young man,
sycophant,a person who tries to please someone in order to gain a personal advantage,
benevolence,disposition to do good,
compunction,a feeling of deep regret (usually for some misdeed),
supercilious,having or showing arrogant superiority to and disdain of those one views as unworthy,
imbroglio,an intricate and confusing interpersonal or political situation,
peccadilio,"a small, relatively unimportant offense or sin",
panacea,hypothetical remedy for all ills or diseases; once sought by the alchemists,
diffident,lacking self-confidence,
effervescent,marked by high spirits or excitement,
quixotic,not sensible about practical matters; idealistic and unrealistic,
inane,extremely silly or stupid,
adroit,quick or skillful or adept in action or thought,
didactic,instructive (especially excessively),
glibly,with superficial plausibility,
parsimonious,excessively unwilling to spend,
philistine,a person who is uninterested in intellectual pursuits,
uxorious,foolishly fond of or submissive to your wife,
persiflage,light teasing,
epigram,a witty saying,
poignant,evoking a keen sense of sadness or regret,
specious,plausible but false,
unctuous,unpleasantly and excessively suave or ingratiating in manner or speech,
gumption,"sound practical judgment, fortitude and determination",
glibly,marked by ease and fluency often to the point of being insincere,
Candor,the quality of being open and honest in expression; frankness.,
surreptitious,Done secretly or in a way of not being noticed,
Abstruse,incomprehensible to one of ordinary understanding,
Arbitrary,decision based on whim or randomness rather than reason,
Congruent,matching in character or kind,
Incipient,at an early stage or beginning to develop,
Languish,to lose vigor or health,
Magnate,person of power or influence,
Visceral,coming from emotion than reason,
Circumlocution,using many words when few will do,
Parochial,narrowly restricted in outlook or scope,
Recalcitrant,stubbornly resistant to authority or control,
disconsolate,cheerless,
Latrogenic,illness/disease caused by medicine. Unintended consequences...,
Heuristic,Enable someone to discover or learn something for themselves,
Venerable,"accorded a great deal of respect, especially because of age, wisdom, or character.",
Levity,"humor or frivolity, especially the treatment of a serious matter with humor or in a manner lacking due respect.",
Steel oneself,get ready for something difficult or unpleasant. To fill with determination and courage,
opine,hold and state as one's opinion.,
perspicacity,the quality of having a ready insight into things; shrewdness.,
luminary,a person who has achieved great recognition in their field,
predilection,partiality or preference,
sedulous,persistent or diligent,
garrulous,wordy or extremely talkative,
covenant,an agreement to do or not do something,
aplomb,sense of confidence or poise,
dilettante,"dabbler, one who takes up a hobby for a short time",
prosaic,"straightforward, lacking excitement",
placid,"serene, at peace",
irascible,"easily angered, hot tempered",
facetious,remark that may sound serious but meant to be amusing,
pithy,short and brief but with meaning or substance,